player_name,age,player_height
Kevon Looney,25,205.74
Khem Birch,28,205.74
Khris Middleton,29,200.66
Khyri Thomas,25,190.5
Killian Hayes,19,195.58
Killian Tillie,23,205.74
Kira Lewis Jr.,20,185.42
Kostas Antetokounmpo,23,208.28
Kris Dunn,27,190.5
Kristaps Porzingis,25,220.98
Kyle Anderson,27,205.74
Kyle Guy,23,185.42
Kyle Kuzma,25,208.28
Kyle Lowry,35,182.88
Kyrie Irving,29,187.96
LaMarcus Aldridge,35,210.82
LaMelo Ball,19,198.12
Lamar Stevens,23,198.12
Landry Shamet,24,193.04
Langston Galloway,29,185.42
Kendrick Nunn,25,187.96
Kemba Walker,31,182.88
Kelly Oubre Jr.,25,200.66
Kelly Olynyk,30,210.82
Jordan Clarkson,29,193.04
Jordan McLaughlin,25,180.34
Jordan Nwora,22,203.2
Jordan Poole,22,193.04
Josh Green,20,195.58
Josh Hall,20,205.74
Josh Hart,26,195.58
Josh Jackson,24,203.2
Josh Okogie,22,193.04
Josh Richardson,27,195.58
Jrue Holiday,31,190.5
Juan Toscano-Anderson,28,198.12
Juancho Hernangomez,25,205.74
Julius Randle,26,203.2
Larry Nance Jr.,28,200.66
Justin Holiday,32,198.12
Justin James,24,200.66
Justin Patton,24,210.82
Justin Robinson,23,185.42
Justise Winslow,25,198.12
Jusuf Nurkic,26,210.82
Juwan Morgan,24,200.66
KZ Okpala,22,203.2
Karim Mane,21,190.5
Karl-Anthony Towns,25,210.82
Kawhi Leonard,30,200.66
Keita Bates-Diop,25,203.2
Kelan Martin,25,195.58
Keldon Johnson,21,195.58
Keljin Blevins,25,193.04
Justin Jackson,26,203.2
Nikola Jokic,26,210.82
Lauri Markkanen,24,213.36
Lonnie Walker IV,22,193.04
Michael Porter Jr.,23,208.28
Mikal Bridges,24,198.12
Mike Conley,33,185.42
Mike James,30,185.42
Mike Muscala,29,208.28
Mike Scott,32,200.66
Miles Bridges,23,198.12
Mitchell Robinson,23,213.36
Miye Oni,23,195.58
Mo Bamba,23,213.36
Monte Morris,26,187.96
Montrezl Harrell,27,200.66
Moritz Wagner,24,210.82
Moses Brown,21,218.44
Mychal Mulder,27,190.5
Myles Turner,25,210.82
Naji Marshall,23,200.66
Nassir Little,21,195.58
Nate Darling,22,198.12
Nate Hinton,22,195.58
Nathan Knight,23,208.28
Naz Reid,21,205.74
Nemanja Bjelica,33,208.28
Nerlens Noel,27,210.82
Nick Richards,23,213.36
Nickeil Alexander-Walker,22,198.12
Nico Mannion,20,187.96
Nicolas Batum,32,203.2
Nicolas Claxton,22,210.82
Michael Carter-Williams,29,195.58
Mfiondu Kabengele,23,205.74
Meyers Leonard,29,213.36
Maxi Kleber,29,208.28
Lonzo Ball,23,198.12
